GEOID10,race,sex,age,age_v
391119666001018,1,1,7,21
391119666001018,1,1,8,23
391119666001018,1,2,8,22
391119666001018,1,1,9,26
391119666001018,1,1,9,26
391119666001018,1,2,9,26
391119666001018,1,1,15,56
391119666001018,1,2,15,58
391119666001019,1,1,11,37
391119666001019,1,1,15,56
391119666001019,1,2,15,58
391119666001025,1,1,4,15
391119666001025,1,1,13,46
391119666001025,1,2,14,50
391119666001025,1,1,20,71
391119666001025,1,2,20,73
391119666001032,1,1,4,16
391119666001032,1,2,6,20
391119666001032,1,2,6,20
391119666001032,1,1,10,31
391119666001032,1,1,10,33
391119666001032,1,2,12,40
391119666001032,1,1,14,51
391119666001033,1,2,2,8
391119666001033,7,1,4,16
391119666001033,1,1,12,41
391119666001033,1,2,13,46
391119666001033,7,2,13,47
391119666001033,1,2,14,51
391119666001033,1,2,14,50
391119666001033,1,2,14,52
391119666001033,1,1,16,60
391119666001033,1,1,17,63
391119666001033,1,1,17,63
391119666001033,1,1,19,68
391119666001033,1,2,19,68
391119666001034,1,2,3,10
391119666001034,1,1,9,26
391119666001034,1,1,10,32
391119666001034,1,2,11,38
391119666001034,1,1,12,41
391119666001034,1,1,12,40
391119666001034,1,2,12,40
391119666001034,1,2,12,41
391119666001034,1,2,12,41
391119666001034,1,1,13,47
391119666001034,1,1,13,48
391119666001034,1,2,14,53
391119666001034,1,1,15,55
391119666001034,1,1,15,58
391119666001034,1,2,15,58
391119666001034,1,1,16,60
391119666001034,1,2,17,62
391119666001034,1,1,18,65
391119666001034,1,1,21,76
391119666001034,1,2,21,77
391119666001034,1,2,21,77
391119666001034,1,2,21,77
391119666001035,1,1,20,72
391119666001035,1,2,20,70
391119666001036,1,1,15,56
391119666001036,1,2,15,56
391119666001038,1,1,3,10
391119666001038,1,1,3,13
391119666001038,1,2,4,16
391119666001038,1,2,12,41
391119666001038,1,1,13,46
391119666001038,1,1,13,48
391119666001038,1,2,13,47
391119666001040,1,1,2,7
391119666001040,1,2,2,5
391119666001040,1,1,3,13
391119666001040,1,2,3,10
391119666001040,1,2,3,13
391119666001040,1,1,4,15
391119666001040,1,2,4,16
391119666001040,1,1,7,21
391119666001040,1,2,11,37
391119666001040,1,1,12,40
391119666001040,1,2,12,41
391119666001040,1,2,12,43
391119666001040,1,1,13,45
391119666001040,1,1,13,45
391119666001040,1,1,13,45
391119666001040,1,2,14,51
391119666001040,1,1,15,57
391119666001040,1,1,15,57
391119666001040,1,2,15,58
391119666001040,1,1,19,68
391119666001040,1,2,19,67
391119666001041,1,1,2,7
391119666001041,1,1,2,8
391119666001041,1,2,2,8
391119666001041,1,1,6,20
391119666001041,1,2,8,22
391119666001041,1,1,9,28
391119666001041,1,1,9,28
391119666001041,1,1,9,27
391119666001041,1,2,9,26
391119666001041,1,2,10,32
391119666001041,1,1,11,37
391119666001041,1,1,11,35
391119666001041,1,2,11,37
391119666001041,1,1,12,42
391119666001041,1,2,13,46
391119666001041,1,2,13,48
391119666001041,1,1,14,53
391119666001041,1,1,14,53
391119666001041,1,1,14,50
391119666001041,1,2,14,52
391119666001041,1,2,14,53
391119666001041,1,1,15,55
391119666001041,1,1,15,58
391119666001041,1,1,15,58
391119666001041,1,1,15,55
391119666001041,1,1,15,55
391119666001041,1,2,15,58
391119666001041,1,2,15,55
391119666001041,1,2,15,58
391119666001041,1,2,15,56
391119666001041,1,2,15,57
391119666001041,7,2,15,57
391119666001041,1,1,16,60
391119666001041,1,1,16,60
391119666001041,1,2,16,60
391119666001041,1,2,16,60
391119666001041,1,1,20,73
391119666001041,1,1,21,77
391119666001041,1,2,21,78
391119666001042,1,2,12,42
391119666001042,1,2,17,62
391119666001060,1,2,3,11
391119666001060,1,1,4,16
391119666001060,1,2,13,47
391119666001060,1,1,14,52
391119666001063,1,1,1,3
391119666001063,1,2,1,1
391119666001063,1,1,2,7
391119666001063,1,2,2,8
391119666001063,1,1,8,23
391119666001063,1,1,9,26
391119666001063,1,2,9,25
391119666001063,1,1,10,32
391119666001063,1,2,10,33
391119666001063,1,1,15,57
391119666001063,1,2,16,60
391119666001063,1,1,22,82
391119666001066,1,1,20,71
391119666001066,1,2,20,73
391119666001067,1,1,1,3
391119666001067,1,1,10,33
391119666001067,1,2,10,31
391119666001067,1,1,12,40
391119666001068,1,1,1,2
391119666001068,1,2,1,2
391119666001068,1,1,4,15
391119666001068,1,1,5,18
391119666001068,1,2,6,20
391119666001068,1,1,8,22
391119666001068,1,1,8,22
391119666001068,1,2,8,22
391119666001068,1,1,9,27
391119666001068,1,1,10,33
391119666001068,1,2,10,32
391119666001068,1,2,11,35
391119666001068,1,1,12,41
391119666001068,1,1,14,53
391119666001068,1,2,14,51
391119666001068,1,2,14,53
391119666001068,1,1,15,57
391119666001068,1,1,15,55
391119666001068,1,1,15,58
391119666001068,1,1,15,55
391119666001068,1,1,15,56
391119666001068,1,2,15,55
391119666001068,1,2,15,58
391119666001068,1,2,15,55
391119666001069,1,1,15,57
391119666001069,1,2,15,55
391119666001070,1,2,10,30
391119666001070,1,1,12,43
391119666001070,1,2,16,60
391119666001070,1,1,17,62
391119666001071,1,1,1,0
391119666001071,1,1,1,0
391119666001071,1,2,1,0
391119666001071,1,2,1,2
391119666001071,1,2,1,1
391119666001071,1,2,1,0
391119666001071,1,2,1,3
391119666001071,1,1,2,7
391119666001071,1,1,2,8
391119666001071,1,2,2,8
391119666001071,1,2,2,7
391119666001071,1,2,2,7
391119666001071,1,2,2,7
391119666001071,1,2,2,8
391119666001071,1,2,2,5
391119666001071,1,2,3,13
391119666001071,1,2,3,12
391119666001071,1,2,4,16
391119666001071,1,2,4,15
391119666001071,1,2,5,18
391119666001071,1,1,8,23
391119666001071,1,1,8,22
391119666001071,1,1,9,26
391119666001071,1,1,9,26
391119666001071,1,2,9,26
391119666001071,1,2,9,28
391119666001071,1,2,9,25
391119666001071,1,1,10,33
391119666001071,1,1,10,30
391119666001071,1,1,10,31
391119666001071,1,1,10,33
391119666001071,1,2,10,30
391119666001071,1,2,10,31
391119666001071,1,2,10,30
391119666001071,1,1,11,35
391119666001071,1,1,11,36
391119666001071,1,2,11,37
391119666001071,1,2,11,38
391119666001071,1,2,11,36
391119666001071,1,2,11,38
391119666001071,1,1,12,41
391119666001071,1,1,12,42
391119666001071,1,1,12,41
391119666001071,1,1,12,41
391119666001071,1,2,12,41
391119666001071,1,2,12,40
391119666001071,1,1,13,46
391119666001071,1,1,13,45
391119666001071,1,1,13,45
391119666001071,1,1,13,45
391119666001071,1,2,13,47
391119666001071,1,1,14,50
391119666001071,1,1,14,51
391119666001071,1,1,14,53
391119666001071,1,1,14,50
391119666001071,1,1,14,53
391119666001071,1,2,14,53
391119666001071,1,2,14,50
391119666001071,1,2,14,52
391119666001071,1,2,14,52
391119666001071,1,2,14,52
391119666001071,1,2,14,51
391119666001071,1,1,15,55
391119666001071,1,1,15,58
391119666001071,1,1,15,57
391119666001071,1,2,15,56
391119666001071,1,2,15,57
391119666001071,1,2,15,56
391119666001071,1,1,16,60
391119666001071,1,2,16,60
391119666001071,1,2,16,60
391119666001071,1,2,16,60
391119666001071,1,2,16,60
391119666001071,1,2,16,60
391119666001071,1,1,17,62
391119666001071,1,1,17,63
391119666001071,1,1,17,62
391119666001071,1,1,17,63
391119666001071,1,1,17,62
391119666001071,1,1,17,63
391119666001071,1,2,17,63
391119666001071,1,2,18,65
391119666001071,1,1,19,67
391119666001071,1,2,19,68
391119666001071,1,2,19,67
391119666001071,1,2,19,67
391119666001071,1,2,19,67
391119666001071,2,1,19,67
391119666001071,1,1,20,71
391119666001071,1,1,20,72
391119666001071,1,2,20,72
391119666001071,1,1,21,78
391119666001071,1,2,21,75
391119666001071,1,2,21,76
391119666001071,1,2,21,78
391119666001071,1,1,22,83
391119666001071,1,2,22,82
391119666001071,1,2,22,83
391119666001071,1,1,23,98
391119666001071,1,1,23,90
391119666001071,1,2,23,88
391119666001071,1,2,23,86
391119666001072,1,2,16,60
391119666001073,1,1,3,11
391119666001073,1,1,4,15
391119666001073,1,2,12,40
391119666001073,1,1,13,48
391119666001073,1,2,14,51
391119666001073,1,1,19,68
391119666001073,1,1,20,71
391119666001073,1,2,20,71
391119666001074,1,2,1,0
391119666001074,1,2,1,0
391119666001074,1,2,2,7
391119666001074,1,2,3,11
391119666001074,1,1,4,15
391119666001074,1,2,4,16
391119666001074,1,2,4,15
391119666001074,1,1,5,18
391119666001074,1,1,5,18
391119666001074,1,1,8,23
391119666001074,1,2,9,28
391119666001074,1,1,10,32
391119666001074,1,1,11,38
391119666001074,1,2,11,37
391119666001074,1,1,12,41
391119666001074,1,2,13,47
391119666001074,1,2,14,51
391119666001074,1,2,19,67
391119666001074,1,2,19,68
391119666001074,1,1,20,72
391119666001074,1,1,20,71
391119666001075,1,2,1,2
391119666001075,1,1,2,7
391119666001075,1,2,2,7
391119666001075,1,2,3,10
391119666001075,1,2,4,16
391119666001075,1,1,6,20
391119666001075,1,2,8,23
391119666001075,1,1,11,36
391119666001075,1,2,11,38
391119666001075,1,1,13,48
391119666001075,1,2,15,57
391119666001075,1,2,15,56
391119666001075,1,2,21,76
391119666001075,1,2,22,82
391119666001077,1,2,3,13
391119666001077,1,2,4,15
391119666001077,1,2,4,16
391119666001077,1,2,9,25
391119666001077,7,1,10,31
391119666001077,1,2,11,38
391119666001077,1,1,12,41
391119666001079,1,1,5,18
391119666001079,1,2,13,47
391119666001079,1,1,14,53
391119666001081,1,1,3,13
391119666001081,1,2,3,10
391119666001081,1,2,4,16
391119666001081,1,1,6,20
391119666001081,1,2,9,26
391119666001081,1,1,11,37
391119666001081,1,2,11,36
391119666001081,1,1,12,42
391119666001081,1,1,13,48
391119666001081,1,1,13,47
391119666001081,1,2,13,45
391119666001081,1,1,16,60
391119666001081,1,2,16,60
391119666001081,1,2,21,78
391119666001085,1,1,2,8
391119666001085,1,1,2,6
391119666001085,1,2,2,5
391119666001085,1,2,10,32
391119666001085,1,1,11,37
391119666001086,1,1,4,16
391119666001086,1,1,4,15
391119666001086,1,1,4,16
391119666001086,1,2,4,16
391119666001086,1,2,4,16
391119666001086,1,2,4,15
391119666001086,1,1,5,18
391119666001086,1,1,6,20
391119666001086,1,1,10,33
391119666001086,1,1,10,31
391119666001086,1,1,11,35
391119666001086,1,2,11,37
391119666001086,1,1,12,42
391119666001086,1,2,12,41
391119666001086,1,2,12,40
391119666001086,1,2,13,47
391119666001086,1,1,14,51
391119666001086,1,1,15,58
391119666001086,1,2,15,58
391119666001086,1,2,15,58
391119666001086,1,2,15,58
391119666001086,1,2,15,56
391119666001086,1,1,17,62
391119666001086,1,2,21,75
391119666001086,1,2,22,82
391119666001086,1,2,22,81
391119666001086,1,2,23,90
391119666001087,1,1,5,18
391119666001087,1,2,5,18
391119666001087,1,2,9,28
391119666001087,1,1,13,45
391119666001087,1,2,14,52
391119666001087,1,1,17,62
391119666001087,1,2,17,62
391119666001087,1,1,18,65
391119666001087,1,2,18,65
391119666001087,1,1,21,78
391119666001097,1,1,3,13
391119666001097,1,2,4,16
391119666001097,1,2,4,16
391119666001097,1,1,12,42
391119666001097,1,1,12,42
391119666001097,1,2,12,42
391119666001097,1,2,13,46
391119666001097,1,2,15,56
391119666001097,1,1,16,60
391119666001100,1,2,11,36
391119666001100,1,1,14,51
391119666001100,1,1,21,75
391119666001101,1,1,13,45
391119666001101,1,2,14,53
391119666001102,1,1,9,25
391119666001102,1,2,9,27
391119666001102,1,1,14,52
391119666001102,1,2,17,63
391119666001103,1,2,20,71
391119666001103,1,2,22,82
391119666001103,1,1,23,97
391119666001105,1,1,3,11
391119666001105,1,2,5,18
391119666001105,1,1,11,37
391119666001105,1,2,11,38
391119666001112,1,2,13,45
391119666001112,1,2,14,51
391119666001112,1,1,15,55
391119666001115,1,2,1,1
391119666001115,1,2,5,18
391119666001115,1,2,7,21
391119666001115,1,1,9,26
391119666001115,1,2,17,62
391119666001116,1,1,3,10
391119666001116,1,2,11,36
391119666001116,1,1,12,42
391119666001116,1,2,20,70
391119666001117,1,1,2,5
391119666001117,1,2,2,7
391119666001117,1,2,2,5
391119666001117,1,2,2,8
391119666001117,1,2,3,12
391119666001117,1,2,4,16
391119666001117,1,2,4,16
391119666001117,1,1,7,21
391119666001117,1,2,10,33
391119666001117,1,2,10,32
391119666001117,1,1,11,38
391119666001117,1,2,11,36
391119666001117,1,2,11,35
391119666001117,1,1,14,53
391119666001117,1,2,15,55
391119666001117,1,1,17,63
391119666001117,1,2,17,62
391119666001117,1,1,19,68
391119666001117,1,1,20,70
391119666001117,1,1,20,71
391119666001117,1,2,20,71
391119666002000,1,1,1,3
391119666002000,1,2,2,6
391119666002000,1,1,10,33
391119666002000,1,2,10,30
391119666002000,1,2,14,51
391119666002000,1,2,14,50
391119666002000,1,1,15,55
391119666002000,1,1,16,60
391119666002002,1,2,1,3
391119666002002,1,2,2,5
391119666002002,1,2,2,7
391119666002002,1,1,11,36
391119666002002,1,2,11,38
391119666002002,1,2,13,45
391119666002002,1,1,15,58
391119666002002,1,1,15,56
391119666002002,1,1,17,62
391119666002002,1,2,17,63
391119666002002,1,2,19,67
391119666002002,1,1,20,73
391119666002002,1,2,21,75
391119666002002,1,2,22,80
391119666002004,1,2,7,21
391119666002004,1,1,9,27
391119666002005,7,1,12,40
391119666002005,1,2,18,65
391119666002005,1,1,19,67
391119666002006,1,1,3,13
391119666002006,1,2,11,36
391119666002006,2,2,12,40
391119666002006,1,1,14,50
391119666002006,1,1,15,58
391119666002006,1,1,17,62
391119666002006,1,2,18,65
391119666002009,1,1,4,16
391119666002009,1,2,4,16
391119666002009,1,2,11,37
391119666002009,1,2,15,55
391119666002009,1,1,16,60
391119666002009,1,1,19,68
391119666002009,1,1,19,68
391119666002009,1,2,19,67
391119666002011,1,2,13,47
391119666002011,1,1,14,53
391119666002012,1,1,11,37
391119666002012,1,2,11,38
391119666002012,1,1,13,48
391119666002012,1,1,13,48
391119666002012,1,1,14,50
391119666002012,1,1,14,53
391119666002012,1,2,15,55
391119666002012,1,2,15,57
391119666002012,1,1,16,60
391119666002012,1,2,16,60
391119666002012,1,2,16,60
391119666002012,1,1,18,65
391119666002012,1,1,18,65
391119666002013,1,1,8,23
391119666002013,1,2,8,22
391119666002014,1,2,4,16
391119666002014,1,2,14,51
391119666002014,1,1,20,73
391119666002014,1,2,20,71
391119666002014,1,1,21,76
391119666002015,1,2,4,15
391119666002015,1,1,12,43
391119666002015,1,2,12,40
391119666002015,1,1,14,51
391119666002015,1,2,14,52
391119666002015,1,1,15,57
391119666002015,1,2,15,56
391119666002015,1,2,17,62
391119666002016,1,2,1,2
391119666002016,1,1,2,6
391119666002016,1,2,2,8
391119666002016,1,2,3,12
391119666002016,1,2,8,22
391119666002016,1,1,9,28
391119666002016,1,2,9,25
391119666002016,1,2,9,28
391119666002016,1,1,11,35
391119666002016,1,1,12,43
391119666002016,1,1,13,46
391119666002016,1,1,14,50
391119666002016,1,2,14,51
391119666002016,1,1,15,55
391119666002016,1,1,15,55
391119666002016,1,1,15,58
391119666002016,1,2,15,57
391119666002016,1,2,15,55
391119666002016,3,2,15,55
391119666002016,1,2,16,60
391119666002016,1,1,21,76
391119666002016,1,2,21,78
391119666002016,1,1,22,81
391119666002016,1,1,22,81
391119666002016,1,2,22,83
391119666002017,1,2,1,1
391119666002017,1,2,2,5
391119666002017,1,2,2,5
391119666002017,1,1,3,11
391119666002017,1,2,9,27
391119666002017,1,1,10,33
391119666002017,1,2,10,30
391119666002017,1,1,11,37
391119666002017,1,2,11,36
391119666002017,1,1,12,41
391119666002017,1,2,16,60
391119666002019,1,2,1,3
391119666002019,1,1,8,22
391119666002019,1,2,8,22
391119666002020,1,2,1,3
391119666002020,1,2,2,6
391119666002020,1,2,2,5
391119666002020,1,2,3,12
391119666002020,1,2,3,12
391119666002020,1,2,3,10
391119666002020,1,2,4,15
391119666002020,1,1,7,21
391119666002020,1,1,8,22
391119666002020,1,1,8,23
391119666002020,1,1,8,23
391119666002020,1,2,8,22
391119666002020,1,1,10,31
391119666002020,1,2,10,32
391119666002020,1,1,12,43
391119666002020,1,2,12,43
391119666002020,1,1,13,47
391119666002020,1,1,13,45
391119666002020,1,2,13,46
391119666002020,1,2,13,46
391119666002020,1,1,14,51
391119666002020,1,2,14,51
391119666002020,1,2,14,52
391119666002020,1,1,15,56
391119666002020,1,2,20,71
391119666002020,1,1,21,77
391119666002020,1,1,22,81
391119666002020,1,2,22,81
391119666002022,1,1,21,77
391119666002025,1,1,3,12
391119666002025,1,1,10,30
391119666002025,1,2,10,32
391119666002026,1,1,1,0
391119666002026,1,1,1,2
391119666002026,1,2,1,1
391119666002026,1,1,2,5
391119666002026,1,2,2,6
391119666002026,1,2,2,7
391119666002026,1,2,2,7
391119666002026,1,2,3,12
391119666002026,1,2,3,12
391119666002026,7,2,3,11
391119666002026,1,1,4,15
391119666002026,1,2,4,15
391119666002026,7,2,4,16
391119666002026,1,2,5,18
391119666002026,1,1,8,22
391119666002026,1,1,9,25
391119666002026,1,1,9,28
391119666002026,1,2,9,28
391119666002026,1,2,9,27
391119666002026,1,1,10,33
391119666002026,1,1,11,38
391119666002026,1,1,11,35
391119666002026,1,1,11,38
391119666002026,1,2,11,38
391119666002026,1,2,11,35
391119666002026,1,1,12,43
391119666002026,1,2,12,42
391119666002026,7,2,12,43
391119666002026,1,1,13,45
391119666002026,1,2,13,45
391119666002026,1,1,14,52
391119666002026,1,2,14,52
391119666002026,1,2,14,52
391119666002026,1,1,15,56
391119666002026,1,1,15,55
391119666002026,1,1,15,58
391119666002026,1,2,15,58
391119666002026,1,2,16,60
391119666002026,1,2,17,63
391119666002026,1,2,19,67
391119666002026,1,1,20,73
391119666002026,1,2,21,75
391119666002026,1,2,21,78
391119666002027,1,1,5,18
391119666002027,1,1,12,40
391119666002027,1,1,14,50
391119666002027,1,2,14,52
391119666002027,1,2,15,57
391119666002027,1,1,17,62
391119666002028,1,1,3,13
391119666002028,1,2,5,18
391119666002028,1,2,5,18
391119666002028,1,2,5,18
391119666002028,1,1,11,36
391119666002028,1,2,11,37
391119666002028,1,2,12,42
391119666002028,1,2,14,50
391119666002028,1,2,15,58
391119666002028,1,2,15,57
391119666002028,1,1,16,60
391119666002028,1,1,17,63
391119666002028,1,2,17,63
391119666002028,1,1,18,65
391119666002028,1,2,18,65
391119666002028,1,1,19,68
391119666002028,1,2,19,68
391119666002028,1,1,22,80
391119666002028,1,2,22,82
391119666002028,1,2,23,91
391119666002029,1,1,1,2
391119666002029,1,2,1,1
391119666002029,1,2,9,27
391119666002029,1,1,10,31
391119666002029,1,2,14,53
391119666002029,1,1,15,55
391119666002029,1,2,15,55
391119666002029,1,1,16,60
391119666002029,1,2,21,76
391119666002029,1,1,22,82
391119666002030,1,2,1,2
391119666002030,1,2,3,13
391119666002030,1,2,5,18
391119666002030,1,2,8,23
391119666002030,1,1,13,46
391119666002030,1,1,13,47
391119666002030,1,2,13,45
391119666002030,1,2,13,46
391119666002030,1,2,13,47
391119666002030,1,1,14,52
391119666002030,1,2,14,53
391119666002030,1,2,16,60
391119666002030,1,2,23,99
391119666002030,1,2,23,92
391119666002031,1,1,13,45
391119666002031,1,1,21,78
391119666002031,1,1,21,78
391119666002031,1,1,21,77
391119666002031,1,2,21,75
391119666002032,1,1,19,67
391119666002033,1,1,1,0
391119666002033,1,2,1,2
391119666002033,7,1,1,0
391119666002033,7,2,1,0
391119666002033,1,2,2,8
391119666002033,1,1,3,10
391119666002033,2,2,3,13
391119666002033,7,2,5,18
391119666002033,7,2,7,21
391119666002033,1,1,8,23
391119666002033,1,1,8,22
391119666002033,1,2,8,23
391119666002033,1,2,8,23
391119666002033,1,2,8,22
391119666002033,1,1,9,26
391119666002033,1,2,10,31
391119666002033,1,1,11,36
391119666002033,1,1,12,43
391119666002033,1,1,12,42
391119666002033,1,2,12,42
391119666002033,1,2,12,42
391119666002033,2,2,12,40
391119666002033,1,1,13,45
391119666002033,1,1,13,48
391119666002033,1,2,13,45
391119666002033,1,2,13,46
391119666002033,1,2,14,52
391119666002033,2,1,14,53
391119666002033,1,1,15,57
391119666002033,1,2,15,57
391119666002033,1,2,17,62
391119666002033,1,2,18,65
391119666002033,1,2,18,65
391119666002033,1,1,19,68
391119666002033,1,2,19,67
391119666002033,1,1,20,72
391119666002033,1,2,21,77
391119666002033,1,2,22,80
391119666002035,1,2,2,7
391119666002035,1,2,5,18
391119666002035,1,1,11,36
391119666002035,1,2,11,35
391119666002035,1,1,17,62
391119666002036,1,2,1,2
391119666002036,1,2,3,11
391119666002036,1,1,8,22
391119666002036,1,2,8,22
391119666002036,1,2,10,30
391119666002036,1,2,12,41
391119666002036,1,1,16,60
391119666002036,1,2,18,65
391119666002037,1,1,7,21
391119666002037,1,2,8,22
391119666002037,1,2,16,60
391119666002038,1,1,10,30
391119666002038,1,1,10,31
391119666002038,1,2,16,60
391119666002038,1,2,19,67
391119666002039,1,1,23,85
391119666002040,1,2,1,3
391119666002040,1,1,2,7
391119666002040,1,1,2,7
391119666002040,1,1,2,8
391119666002040,1,2,2,6
391119666002040,1,1,7,21
391119666002040,1,1,10,31
391119666002040,1,2,10,33
391119666002040,1,2,10,31
391119666002040,1,1,14,50
391119666002040,1,2,14,51
391119666002040,1,1,17,62
391119666002040,1,1,17,62
391119666002042,1,1,2,7
391119666002042,1,1,2,5
391119666002042,1,1,10,32
391119666002042,1,2,10,31
391119666002046,1,1,1,2
391119666002046,1,1,1,2
391119666002046,1,1,1,1
391119666002046,1,1,1,1
391119666002046,1,1,1,1
391119666002046,1,2,1,1
391119666002046,1,2,1,1
391119666002046,1,2,1,3
391119666002046,1,2,1,3
391119666002046,1,2,1,3
391119666002046,1,1,2,5
391119666002046,1,1,2,8
391119666002046,1,1,2,5
391119666002046,1,1,2,5
391119666002046,1,1,2,6
391119666002046,1,2,2,7
391119666002046,1,2,2,8
391119666002046,1,2,2,6
391119666002046,1,1,3,10
391119666002046,1,1,3,12
391119666002046,1,1,3,11
391119666002046,1,1,3,13
391119666002046,1,2,3,13
391119666002046,1,2,3,10
391119666002046,1,2,3,11
391119666002046,1,1,4,16
391119666002046,1,1,4,15
391119666002046,1,1,4,16
391119666002046,1,1,4,15
391119666002046,1,2,4,15
391119666002046,1,2,4,16
391119666002046,1,1,6,20
391119666002046,1,2,6,20
391119666002046,1,1,7,21
391119666002046,1,2,8,22
391119666002046,1,2,8,22
391119666002046,1,2,8,23
391119666002046,1,2,8,23
391119666002046,1,2,8,22
391119666002046,1,2,8,22
391119666002046,1,2,8,22
391119666002046,1,1,9,28
391119666002046,1,1,9,27
